PMB Code,PMB Description,Treatment Component,ICD10 Code,ICD10 Description,Comments
49A,Compound/ depressed fractures of skull,Craniotomy/ craniectomy,S02.11,"Fracture of base of skull, open",
49A,Compound/ depressed fractures of skull,Craniotomy/ craniectomy,S02.70,"Multiple fractures involving skull and facial bones,closed",
49A,Compound/ depressed fractures of skull,Craniotomy/ craniectomy,S02.71,"Multiple fractures involving skull and facial bones, open",
49A,Compound/ depressed fractures of skull,Craniotomy/ craniectomy,S02.80,"Fractures of other skull and facial bones,closed",
49A,Compound/ depressed fractures of skull,Craniotomy/ craniectomy,S02.81,"Fractures of other skull and facial bones,open",
49A,Compound/ depressed fractures of skull,Craniotomy/ craniectomy,S02.90,"Fracture of skull and facial bones, part unspecified,closed",
49A,Compound/ depressed fractures of skull,Craniotomy/ craniectomy,S02.91,"Fracture of skull and facial bones, part unspecified,open",
49A,Compound/ depressed fractures of skull,Craniotomy/ craniectomy,S07.1,Crushing injury of skull,
49A,Compound/ depressed fractures of skull,Craniotomy/ craniectomy,S07.8,Crushing injury of other parts of head,
49A,Compound/ depressed fractures of skull,Craniotomy/ craniectomy,S07.9,"Crushing injury of head, part unspecified",
49A,Compound/ depressed fractures of skull,Craniotomy/ craniectomy,T02.00,"Fractures involving head with neck, closed",
49A,Compound/ depressed fractures of skull,Craniotomy/ craniectomy,T90.2,Sequelae of fracture of skull and facial bones,
213A,"Difficulty in breathing, eating, swallowing, bowel, or bladder control due to non-progressive neurological (including spinal) condition or injury",Medical and surgical management; ventilation,G81.0,Flaccid hemiplegia,"Note that the functional status described above must be due to a non-progressive neurological or spinal condition or injury, therefore typically requires more than one ICD-10 code, or other supportive evidence to correctly identify the condition.
See note 4 above"
49A,"Difficulty in breathing, eating, swallowing, bowel, or bladder control due to non-progressive neurological (including spinal) condition or injury",,G81.1,Spastic hemiplegia,
49A,"Difficulty in breathing, eating, swallowing, bowel, or bladder control due to non-progressive neurological (including spinal) condition or injury",,G81.9,"Hemiplegia, unspecified",
49A,"Difficulty in breathing, eating, swallowing, bowel, or bladder control due to non-progressive neurological (including spinal) condition or injury",Medical and surgical management; ventilation,G80.0,Spastic quadriplegic cerebral palsy,
49A,"Difficulty in breathing, eating, swallowing, bowel, or bladder control due to non-progressive neurological (including spinal) condition or injury",Medical and surgical management; ventilation,G80.1,Spastic diplegic cerebral palsy,
49A,"Difficulty in breathing, eating, swallowing, bowel, or bladder control due to non-progressive neurological (including spinal) condition or injury",Medical and surgical management; ventilation,G80.2,Spastic hemiplegic cerebral palsy,
49A,"Difficulty in breathing, eating, swallowing, bowel, or bladder control due to non-progressive neurological (including spinal) condition or injury",Medical and surgical management; ventilation,G80.3,Dyskinetic cerebral palsy,
49A,"Difficulty in breathing, eating, swallowing, bowel, or bladder control due to non-progressive neurological (including spinal) condition or injury",Medical and surgical management; ventilation,G80.4,Ataxic cerebral palsy,
49A,"Difficulty in breathing, eating, swallowing, bowel, or bladder control due to non-progressive neurological (including spinal) condition or injury",Medical and surgical management; ventilation,G80.8,Other cerebral palsy,
49A,"Difficulty in breathing, eating, swallowing, bowel, or bladder control due to non-progressive neurological (including spinal) condition or injury",Medical and surgical management; ventilation,G80.9,"Cerebral palsy, unspecified",
49A,"Difficulty in breathing, eating, swallowing, bowel, or bladder control due to non-progressive neurological (including spinal) condition or injury",Medical and surgical management; ventilation,G82.0,Flaccid paraplegia,
49A,"Difficulty in breathing, eating, swallowing, bowel, or bladder control due to non-progressive neurological (including spinal) condition or injury",Medical and surgical management; ventilation,G82.1,Spastic paraplegia,
49A,"Difficulty in breathing, eating, swallowing, bowel, or bladder control due to non-progressive neurological (including spinal) condition or injury",Medical and surgical management; ventilation,G82.2,"Paraplegia, unspecified",
49A,"Difficulty in breathing, eating, swallowing, bowel, or bladder control due to non-progressive neurological (including spinal) condition or injury",Medical and surgical management; ventilation,G82.3,Flaccid tetraplegia,
49A,"Difficulty in breathing, eating, swallowing, bowel, or bladder control due to non-progressive neurological (including spinal) condition or injury",Medical and surgical management; ventilation,G82.4,Spastic tetraplegia,
49A,"Difficulty in breathing, eating, swallowing, bowel, or bladder control due to non-progressive neurological (including spinal) condition or injury",Medical and surgical management; ventilation,G82.5,"Tetraplegia, unspecified",
213A,"Difficulty in breathing, eating, swallowing, bowel, or bladder control due to non-progressive neurological (including spinal) condition or injury",Medical and surgical management; ventilation,N31.0,"Uninhibited neuropathic bladder, not elsewhere classified",
49A,"Difficulty in breathing, eating, swallowing, bowel, or bladder control due to non-progressive neurological (including spinal) condition or injury",Medical and surgical management; ventilation,N31.1,"Reflex neuropathic bladder, not elsewhere classified",
49A,"Difficulty in breathing, eating, swallowing, bowel, or bladder control due to non-progressive neurological (including spinal) condition or injury",Medical and surgical management; ventilation,N31.2,"Flaccid neuropathic bladder, not elsewhere classified",
49A,"Difficulty in breathing, eating, swallowing, bowel, or bladder control due to non-progressive neurological (including spinal) condition or injury",Medical and surgical management; ventilation,N31.8,Other neuromuscular dysfunction of bladder,
49A,"Difficulty in breathing, eating, swallowing, bowel, or bladder control due to non-progressive neurological (including spinal) condition or injury",Medical and surgical management; ventilation,R 13.00,Dysphagia,
49A,"Difficulty in breathing, eating, swallowing, bowel, or bladder control due to non-progressive neurological (including spinal) condition or injury",Medical and surgical management; ventilation,R 6.00,Dyspnoea,
49A,"Difficulty in breathing, eating, swallowing, bowel, or bladder control due to non-progressive neurological (including spinal) condition or injury",Medical and surgical management; ventilation,R 6.80,Other and unspecified abnormalities of breathing,
49A,"Difficulty in breathing, eating, swallowing, bowel, or bladder control due to non-progressive neurological (including spinal) condition or injury",Medical and surgical management; ventilation,R 32.00,Unspecified urinary incontinence,
49A,"Difficulty in breathing, eating, swallowing, bowel, or bladder control due to non-progressive neurological (including spinal) condition or injury",Medical and surgical management; ventilation,R 33.00,Retention of urine,
49A,"Difficulty in breathing, eating, swallowing, bowel, or bladder control due to non-progressive neurological (including spinal) condition or injury",Medical and surgical management; ventilation,R 15.00,Faecal incontinence,
49A,"Difficulty in breathing, eating, swallowing, bowel, or bladder control due to non-progressive neurological (including spinal) condition or injury",Medical and surgical management; ventilation,S34.0,Concussion and oedema of lumbar spinal cord,
49A,"Difficulty in breathing, eating, swallowing, bowel, or bladder control due to non-progressive neurological (including spinal) condition or injury",Medical and surgical management; ventilation,S34.1,Other injury of lumbar spinal cord,
49A,"Difficulty in breathing, eating, swallowing, bowel, or bladder control due to non-progressive neurological (including spinal) condition or injury",Medical and surgical management; ventilation,S34.2,Injury of nerve root of lumbar and sacral spine,
49A,"Difficulty in breathing, eating, swallowing, bowel, or bladder control due to non-progressive neurological (including spinal) condition or injury",Medical and surgical management; ventilation,S34.3,Injury of cauda equina,
49A,"Difficulty in breathing, eating, swallowing, bowel, or bladder control due to non-progressive neurological (including spinal) condition or injury",Medical and surgical management; ventilation,S34.4,Injury of lumbosacral plexus,
49A,"Difficulty in breathing, eating, swallowing, bowel, or bladder control due to non-progressive neurological (including spinal) condition or injury",Medical and surgical management; ventilation,S34.5,"Injury of lumbar, sacral and pelvic sympathetic nerves",
213A,"Difficulty in breathing, eating, swallowing, bowel, or bladder control due to non-progressive neurological (including spinal) condition or injury",Medical and surgical management; ventilation,S34.6,"Injury of peripheral nerve(s) of abdomen, lower back and pelvis",
49A,"Difficulty in breathing, eating, swallowing, bowel, or bladder control due to non-progressive neurological (including spinal) condition or injury",Medical and surgical management; ventilation,S34.8,"Injury of other and unspecified nerves at abdomen, lower back and pelvis level",
83A,Encephalocele; congenital hydrocephalus,Shunt; surgery,Q01.0,Frontal encephalocele,
83A,Encephalocele; congenital hydrocephalus,Shunt; surgery,Q01.1,Nasofrontal encephalocele,
83A,Encephalocele; congenital hydrocephalus,Shunt; surgery,Q01.2,Occipital encephalocele,
83A,Encephalocele; congenital hydrocephalus,Shunt; surgery,Q01.8,Encephalocele of other sites,
83A,Encephalocele; congenital hydrocephalus,Shunt; surgery,Q01.9,"Encephalocele, unspecified",
83A,Encephalocele; congenital hydrocephalus,Shunt; surgery,Q03.0,Malformations of aqueduct of Sylvius,
83A,Encephalocele; congenital hydrocephalus,Shunt; surgery,Q03.1,Atresia of foramina of Magendie and Luschka,
83A,Encephalocele; congenital hydrocephalus,Shunt; surgery,Q03.8,Other congenital hydrocephalus,
83A,Encephalocele; congenital hydrocephalus,Shunt; surgery,Q03.9,"Congenital hydrocephalus, unspecified",
902A,"Epilepsy (status epilepticus, initial diagnosis, candidate for neurosurgery)",Medical management; ventilation; neurosurgery,G40.0,Localization-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset,
902A,"Epilepsy (status epilepticus, initial diagnosis, candidate for neurosurgery)",Medical management; ventilation; neurosurgery,G40.0+F02.8*,Localization-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset/Dementia in other specified diseases classified elsewhere,
902A,"Epilepsy (status epilepticus, initial diagnosis, candidate for neurosurgery)",Medical management; ventilation; neurosurgery,G40.1,Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures,
902A,"Epilepsy (status epilepticus, initial diagnosis, candidate for neurosurgery)",Medical management; ventilation; neurosurgery,G40.1+F02.8*,Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures/Dementia in other specified diseases classified elsewhere,
902A,"Epilepsy (status epilepticus, initial diagnosis, candidate for neurosurgery)",Medical management; ventilation; neurosurgery,G40.2,Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures,
902A,"Epilepsy (status epilepticus, initial diagnosis, candidate for neurosurgery)",Medical management; ventilation; neurosurgery,G40.2+F02.8*,Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures/Dementia in other specified diseases classified elsewhere,
902A,"Epilepsy (status epilepticus, initial diagnosis, candidate for neurosurgery)",Medical management; ventilation; neurosurgery,G40.3,Generalized idiopathic epilepsy and epileptic syndromes,
902A,"Epilepsy (status epilepticus, initial diagnosis, candidate for neurosurgery)",Medical management; ventilation; neurosurgery,G40.3+F02.8*,Generalized idiopathic epilepsy and epileptic syndromes/Dementia in other specified diseases classified elsewhere,
902A,"Epilepsy (status epilepticus, initial diagnosis, candidate for neurosurgery)",Medical management; ventilation; neurosurgery,G40.4,Other generalized epilepsy and epileptic syndromes,
902A,"Epilepsy (status epilepticus, initial diagnosis, candidate for neurosurgery)",Medical management; ventilation; neurosurgery,G40.4+F02.8*,Other generalized epilepsy and epileptic syndromes/Dementia in other specified diseases classified elsewhere,
902A,"Epilepsy (status epilepticus, initial diagnosis, candidate for neurosurgery)",Medical management; ventilation; neurosurgery,G40.5,Special epileptic syndromes,
902A,"Epilepsy (status epilepticus, initial diagnosis, candidate for neurosurgery)",Medical management; ventilation; neurosurgery,G40.5+F02.8*,Special epileptic syndromes/Dementia in other specified diseases classified elsewhere,
902A,"Epilepsy (status epilepticus, initial diagnosis, candidate for neurosurgery)",Medical management; ventilation; neurosurgery,G40.6,"Grand mal seizures, unspecified (with or without petit mal)",
902A,"Epilepsy (status epilepticus, initial diagnosis, candidate for neurosurgery)",Medical management; ventilation; neurosurgery,G40.6+F02.8*,"Grand mal seizures, unspecified (with or without petit mal)/Dementia in other specified diseases classified elsewhere",
902A,"Epilepsy (status epilepticus, initial diagnosis, candidate for neurosurgery)",Medical management; ventilation; neurosurgery,G40.7,"Petit mal, unspecified, without grand mal seizures",
902A,"Epilepsy (status epilepticus, initial diagnosis, candidate for neurosurgery)",Medical management; ventilation; neurosurgery,G40.7+F02.8*,"Petit mal, unspecified, without grand mal seizures/Dementia in other specified diseases classified elsewhere",
902A,"Epilepsy (status epilepticus, initial diagnosis, candidate for neurosurgery)",Medical management; ventilation; neurosurgery,G40.8,Other epilepsy,
902A,"Epilepsy (status epilepticus, initial diagnosis, candidate for neurosurgery)",Medical management; ventilation; neurosurgery,G40.8+F02.8*,Other epilepsy/Dementia in other specified diseases classified elsewhere,
902A,"Epilepsy (status epilepticus, initial diagnosis, candidate for neurosurgery)",Medical management; ventilation; neurosurgery,G40.9,"Epilepsy, unspecified",
902A,"Epilepsy (status epilepticus, initial diagnosis, candidate for neurosurgery)",Medical management; ventilation; neurosurgery,G40.9+F02.8*,"Epilepsy, unspecified/Dementia in other specified diseases classified elsewhere",
902A,"Epilepsy (status epilepticus, initial diagnosis, candidate for neurosurgery)",Medical management; ventilation; neurosurgery,G41.0,Grand mal status epilepticus,
902A,"Epilepsy (status epilepticus, initial diagnosis, candidate for neurosurgery)",Medical management; ventilation; neurosurgery,G41.1,Petit mal status epilepticus,
902A,"Epilepsy (status epilepticus, initial diagnosis, candidate for neurosurgery)",Medical management; ventilation; neurosurgery,G41.2,Complex partial status epilepticus,
902A,"Epilepsy (status epilepticus, initial diagnosis, candidate for neurosurgery)",Medical management; ventilation; neurosurgery,G41.8,Other status epilepticus,
902A,"Epilepsy (status epilepticus, initial diagnosis, candidate for neurosurgery)",Medical management; ventilation; neurosurgery,G41.9,"Status epilepticus, unspecified",
211A,Intraspinal and Intracranial abscess,Medical and surgical management,B43.1,Phaeomycotic brain abscess,
211A,Intraspinal and Intracranial abscess,Medical and surgical management,A06.6,Amoebic brain abscess (G07*),
211A,Intraspinal and Intracranial abscess,Medical and surgical management,A06.6+G07*,Amoebic brain abscess / Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere,
211A,Intraspinal and Intracranial abscess,Medical and surgical management,A17.1,Meningeal tuberculoma (G07*),
211A,Intraspinal and Intracranial abscess,Medical and surgical management,A17.1+G07*,Meningeal tuberculoma / Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere,
211A,Intraspinal and Intracranial abscess,Medical and surgical management,A17.8+G07*,Other tuberculosis of nervous system / Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere,
211A,Intraspinal and Intracranial abscess,Medical and surgical management,B65.0+G07*,Schistosomiasis due to Schistosoma haematobium [urinary schistosomiasis]/Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere,
211A,Intraspinal and Intracranial abscess,Medical and surgical management,B65.1+G07*,Schistosomiasis due to Schistosoma mansoni [intestinal schistosomiasis]/Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere,
211A,Intraspinal and Intracranial abscess,Medical and surgical management,B65.2+G07*,Schistosomiasis due to Schistosoma japonicum/Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere,
211A,Intraspinal and Intracranial abscess,Medical and surgical management,B65.3+G07*,Cercarial dermatitis/Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere,
211A,Intraspinal and Intracranial abscess,Medical and surgical management,B65.8+G07*,Other schistosomiases/Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere,
211A,Intraspinal and Intracranial abscess,Medical and surgical management,B65.9+G07*,"Schistosomiasis, unspecified/Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere",
211A,Intraspinal and Intracranial abscess,Medical and surgical management,G06.0,Intracranial abscess and granuloma,
211A,Intraspinal and Intracranial abscess,Medical and surgical management,G06.1,Intraspinal abscess and granuloma,
211A,Intraspinal and Intracranial abscess,Medical and surgical management,G06.2,Extradural and subdural abscess unspecified,
905A,Meningitis Ð acute and subacute,Medical and surgical management,A17.0,Tuberculous meningitis (G01*),
905A,Meningitis Ð acute and subacute,Medical and surgical management,A17.0+G01*,Tuberculous meningitis / Meningitis in bacterial diseases classified elsewhere,
905A,Meningitis Ð acute and subacute,Medical and surgical management,A32.1,Listerial meningitis and meningoencephalitis,
905A,Meningitis Ð acute and subacute,Medical and surgical management,A32.1+G01*,Listerial meningitis and meningoencephalitis/Meningitis in bacterial diseases classified elsewhere,
905A,Meningitis Ð acute and subacute,Medical and surgical management,A39.0,Meningococcal meningitis (G01*),
905A,Meningitis Ð acute and subacute,Medical and surgical management,A39.0+G01*,Meningococcal meningitis (G01*)/Meningitis in bacterial diseases classified elsewhere,
905A,Meningitis Ð acute and subacute,Medical and surgical management,A52.1+G01*,Symptomatic neurosyphilis/Meningitis in bacterial diseases classified elsewhere,
905A,Meningitis Ð acute and subacute,Medical and surgical management,B37.5,Candidal meningitis (G02.1*),
905A,Meningitis Ð acute and subacute,Medical and surgical management,B37.5+G02.1*,Candidal meningitis/ Meningitis in mycosis,
905A,Meningitis Ð acute and subacute,Medical and surgical management,B38.4+G02.1*,Coccidioidomycosis meningitis / Meningitis in mycoses,
905A,Meningitis Ð acute and subacute,Medical and surgical management,B45.1+G02.1*,Cerebral cryptococcosis/Meningitis in mycoses,
905A,Meningitis Ð acute and subacute,Medical and surgical management,G00.0,Haemophilus meningitis,
905A,Meningitis Ð acute and subacute,Medical and surgical management,G00.1,Pneumococcal meningitis,
905A,Meningitis Ð acute and subacute,Medical and surgical management,G00.2,Streptococcal meningitis,
905A,Meningitis Ð acute and subacute,Medical and surgical management,G00.3,Staphylococcal meningitis,
905A,Meningitis Ð acute and subacute,Medical and surgical management,G00.8,Other bacterial meningitis,
905A,Meningitis Ð acute and subacute,Medical and surgical management,G00.9,Bacterial meningitis unspecified,
905A,Meningitis Ð acute and subacute,Medical and surgical management,G01,Meningitis in bacterial diseases classified elsewhere,
905A,Meningitis Ð acute and subacute,Medical and surgical management,G02.0,Meningitis in viral diseases classified elsewhere,
905A,Meningitis Ð acute and subacute,Medical and surgical management,G02.1,Meningitis in mycoses,
905A,Meningitis Ð acute and subacute,Medical and surgical management,G02.8,Meningitis in other specified infectious and parasitic diseases classified elsewhere,
905A,Meningitis Ð acute and subacute,Medical and surgical management,G03.0,Nonpyogenic meningitis,
905A,Meningitis Ð acute and subacute,Medical and surgical management,G03.1,Chronic meningitis,
905A,Meningitis Ð acute and subacute,Medical and surgical management,G03.2,Benign recurrent meningitis [Mollaret],
905A,Meningitis Ð acute and subacute,Medical and surgical management,G03.8,Meningitis due to other specified causes,
905A,Meningitis Ð acute and subacute,Medical and surgical management,G03.9,"Meningitis, unspecified",
905A,Meningitis Ð acute and subacute,Medical and surgical management,G04.2,"Bacterial meningoencephalitis and meningomyelitis, not elsewhere classified",
513A,Myasthenia gravis; muscular dystrophy; neuro-myopathies NOS,Initial diagnosis; initiation of medical management; therapy for acute complications and exacerbations,G13.0,Paraneoplastic neuromyopathy and neuropathy,
513A,Myasthenia gravis; muscular dystrophy; neuro-myopathies NOS,Initial diagnosis; initiation of medical management; therapy for acute complications and exacerbations,G13.8,Systemic atrophy primarily affecting central nervous system in other diseases classified elsewhere,
513A,Myasthenia gravis; muscular dystrophy; neuro-myopathies NOS,Initial diagnosis; initiation of medical management; therapy for acute complications and exacerbations,G37.8,Other specified demyelinating diseases of central nervous system,
513A,Myasthenia gravis; muscular dystrophy; neuro-myopathies NOS,Initial diagnosis; initiation of medical management; therapy for acute complications and exacerbations,G37.9,"Demyelinating disease of central nervous system, unspecified",
513A,Myasthenia gravis; muscular dystrophy; neuro-myopathies NOS,Initial diagnosis; initiation of medical management; therapy for acute complications and exacerbations,G70.0,Myasthenia gravis ,
513A,Myasthenia gravis; muscular dystrophy; neuro-myopathies NOS,Initial diagnosis; initiation of medical management; therapy for acute complications and exacerbations,G70.1,Toxic myoneural disorders,
513A,Myasthenia gravis; muscular dystrophy; neuro-myopathies NOS,Initial diagnosis; initiation of medical management; therapy for acute complications and exacerbations,G70.2,Congenital and developmental myasthenia,
513A,Myasthenia gravis; muscular dystrophy; neuro-myopathies NOS,Initial diagnosis; initiation of medical management; therapy for acute complications and exacerbations,G70.8,Other specified myoneural disorders,
513A,Myasthenia gravis; muscular dystrophy; neuro-myopathies NOS,Initial diagnosis; initiation of medical management; therapy for acute complications and exacerbations,G70.9,Myoneural disorder unspecified,
513A,Myasthenia gravis; muscular dystrophy; neuro-myopathies NOS,Initial diagnosis; initiation of medical management; therapy for acute complications and exacerbations,G71.0,Muscular dystrophy,
513A,Myasthenia gravis; muscular dystrophy; neuro-myopathies NOS,Initial diagnosis; initiation of medical management; therapy for acute complications and exacerbations,G71.1,Myotonic disorders,
513A,Myasthenia gravis; muscular dystrophy; neuro-myopathies NOS,Initial diagnosis; initiation of medical management; therapy for acute complications and exacerbations,G71.2,Congenital myopathies ,
513A,Myasthenia gravis; muscular dystrophy; neuro-myopathies NOS,Initial diagnosis; initiation of medical management; therapy for acute complications and exacerbations,G71.3,Mitochondrial myopathy not elsewhere classified,
513A,Myasthenia gravis; muscular dystrophy; neuro-myopathies NOS,Initial diagnosis; initiation of medical management; therapy for acute complications and exacerbations,G71.8,Other primary disorders of muscles,
513A,Myasthenia gravis; muscular dystrophy; neuro-myopathies NOS,Initial diagnosis; initiation of medical management; therapy for acute complications and exacerbations,G71.9,Primary disorder of muscle unspecified ,
513A,Myasthenia gravis; muscular dystrophy; neuro-myopathies NOS,Initial diagnosis; initiation of medical management; therapy for acute complications and exacerbations,G72.0,Drug-induced myopathy,
513A,Myasthenia gravis; muscular dystrophy; neuro-myopathies NOS,Initial diagnosis; initiation of medical management; therapy for acute complications and exacerbations,G72.1,Alcoholic myopathy,
513A,Myasthenia gravis; muscular dystrophy; neuro-myopathies NOS,Initial diagnosis; initiation of medical management; therapy for acute complications and exacerbations,G72.2,Myopathy due to other toxic agents,
513A,Myasthenia gravis; muscular dystrophy; neuro-myopathies NOS,Initial diagnosis; initiation of medical management; therapy for acute complications and exacerbations,G72.4,"Inflammatory myopathy, not elsewhere classified",
513A,Myasthenia gravis; muscular dystrophy; neuro-myopathies NOS,Initial diagnosis; initiation of medical management; therapy for acute complications and exacerbations,G72.8,Other specified myopathies,
513A,Myasthenia gravis; muscular dystrophy; neuro-myopathies NOS,Initial diagnosis; initiation of medical management; therapy for acute complications and exacerbations,G72.9,"Myopathy, unspecified",
513A,Myasthenia gravis; muscular dystrophy; neuro-myopathies NOS,Initial diagnosis; initiation of medical management; therapy for acute complications and exacerbations,G73.0,Myasthenic syndromes in endocrine diseases,
513A,Myasthenia gravis; muscular dystrophy; neuro-myopathies NOS,Initial diagnosis; initiation of medical management; therapy for acute complications and exacerbations,G73.1,Eaton-Lambert syndrome (C00-D48+),
513A,Myasthenia gravis; muscular dystrophy; neuro-myopathies NOS,Initial diagnosis; initiation of medical management; therapy for acute complications and exacerbations,G73.2,Other myasthenic syndromes in neoplastic disease (C00-D48+),
513A,Myasthenia gravis; muscular dystrophy; neuro-myopathies NOS,Initial diagnosis; initiation of medical management; therapy for acute complications and exacerbations,G73.3,Myasthenic syndromes in other diseases classified elsewhere,
513A,Myasthenia gravis; muscular dystrophy; neuro-myopathies NOS,Initial diagnosis; initiation of medical management; therapy for acute complications and exacerbations,G73.4,Myopathy in infectious and parasitic diseases classified elsewhere,
513A,Myasthenia gravis; muscular dystrophy; neuro-myopathies NOS,Initial diagnosis; initiation of medical management; therapy for acute complications and exacerbations,G73.5,Myopathy in endocrine diseases,
513A,Myasthenia gravis; muscular dystrophy; neuro-myopathies NOS,Initial diagnosis; initiation of medical management; therapy for acute complications and exacerbations,G73.6,Myopathy in metabolic diseases,
513A,Myasthenia gravis; muscular dystrophy; neuro-myopathies NOS,Initial diagnosis; initiation of medical management; therapy for acute complications and exacerbations,G73.7,Myopathy in other diseases classified elsewhere,
510A,Peripheral nerve injury with open wound,Neuroplasty,S14.4,Injury of peripheral nerves of neck,Only PMB if open wound exist
510A,Peripheral nerve injury with open wound,Neuroplasty,S24.3,Injury of peripheral nerves of thorax,
510A,Peripheral nerve injury with open wound,Neuroplasty,S24.4,Injury of thoracic sympathetic nerves,
510A,Peripheral nerve injury with open wound,Neuroplasty,S24.5,Injury of other nerves of thorax,
510A,Peripheral nerve injury with open wound,Neuroplasty,S24.6,Injury of unspecified nerve of thorax,
510A,Peripheral nerve injury with open wound,Neuroplasty,S34.6,"Injury of peripheral nerve(s) of abdomen, lower back and pelvis",
510A,Peripheral nerve injury with open wound,Neuroplasty,S34.8,"Injury of other and unspecified nerves at abdomen, lower back and pelvis level",
510A,Peripheral nerve injury with open wound,Neuroplasty,S44.0,Injury of ulnar nerve at upper arm level,
510A,Peripheral nerve injury with open wound,Neuroplasty,S44.1,Injury of median nerve at upper arm level,
510A,Peripheral nerve injury with open wound,Neuroplasty,S44.2,Injury of radial nerve at upper arm level,
510A,Peripheral nerve injury with open wound,Neuroplasty,S44.3,Injury of axillary nerve,
510A,Peripheral nerve injury with open wound,Neuroplasty,S44.4,Injury of musculocutaneous nerve,
510A,Peripheral nerve injury with open wound,Neuroplasty,S44.5,Injury of cutaneous sensory nerve at shoulder and upper arm level,
510A,Peripheral nerve injury with open wound,Neuroplasty,S44.7,Injury of multiple nerves at shoulder and upper arm level,
510A,Peripheral nerve injury with open wound,Neuroplasty,S44.8,Injury of other nerves at shoulder and upper arm level,
510A,Peripheral nerve injury with open wound,Neuroplasty,S44.9,Injury of unspecified nerve at shoulder and upper arm level,
510A,Peripheral nerve injury with open wound,Neuroplasty,S54.0,Injury of ulnar nerve at forearm level,
510A,Peripheral nerve injury with open wound,Neuroplasty,S54.1,Injury of median nerve at forearm level,
510A,Peripheral nerve injury with open wound,Neuroplasty,S54.2,Injury of radial nerve at forearm level,
510A,Peripheral nerve injury with open wound,Neuroplasty,S54.3,Injury of cutaneous sensory nerve at forearm level,
510A,Peripheral nerve injury with open wound,Neuroplasty,S54.7,Injury of multiple nerves at forearm level,
510A,Peripheral nerve injury with open wound,Neuroplasty,S54.8,Injury of other nerves at forearm level,
510A,Peripheral nerve injury with open wound,Neuroplasty,S54.9,Injury of unspecified nerve at forearm level,
510A,Peripheral nerve injury with open wound,Neuroplasty,S64.0,Injury of ulnar nerve at wrist and hand level,
510A,Peripheral nerve injury with open wound,Neuroplasty,S64.1,Injury of median nerve at wrist and hand level,
510A,Peripheral nerve injury with open wound,Neuroplasty,S64.2,Injury of radial nerve at wrist and hand level,
510A,Peripheral nerve injury with open wound,Neuroplasty,S64.3,Injury of digital nerve of thumb,
510A,Peripheral nerve injury with open wound,Neuroplasty,S64.4,Injury of digital nerve of other finger,
510A,Peripheral nerve injury with open wound,Neuroplasty,S64.7,Injury of multiple nerves at wrist and hand level,
510A,Peripheral nerve injury with open wound,Neuroplasty,S64.8,Injury of other nerves at wrist and hand level,
510A,Peripheral nerve injury with open wound,Neuroplasty,S64.9,Injury of unspecified nerve at wrist and hand level,
510A,Peripheral nerve injury with open wound,Neuroplasty,S74.0,Injury of sciatic nerve at hip and thigh level,
510A,Peripheral nerve injury with open wound,Neuroplasty,S74.1,Injury of femoral nerve at hip and thigh level,
510A,Peripheral nerve injury with open wound,Neuroplasty,S74.2,Injury of cutaneous sensory nerve at hip and thigh level,
510A,Peripheral nerve injury with open wound,Neuroplasty,S74.7,Injury of multiple nerves at hip and thigh level,
510A,Peripheral nerve injury with open wound,Neuroplasty,S74.8,Injury of other nerves at hip and thigh level,
510A,Peripheral nerve injury with open wound,Neuroplasty,S74.9,Injury of unspecified nerve at hip and thigh level,
510A,Peripheral nerve injury with open wound,Neuroplasty,S84.0,Injury of tibial nerve at lower leg level,
510A,Peripheral nerve injury with open wound,Neuroplasty,S84.1,Injury of peroneal nerve at lower leg level,
510A,Peripheral nerve injury with open wound,Neuroplasty,S84.2,Injury of cutaneous sensory nerve at lower leg level,
510A,Peripheral nerve injury with open wound,Neuroplasty,S84.7,Injury of multiple nerves at lower leg level,
510A,Peripheral nerve injury with open wound,Neuroplasty,S84.8,Injury of other nerves at lower leg level,
510A,Peripheral nerve injury with open wound,Neuroplasty,S84.9,Injury of unspecified nerve at lower leg level,
510A,Peripheral nerve injury with open wound,Neuroplasty,S94.0,Injury of lateral plantar nerve,
510A,Peripheral nerve injury with open wound,Neuroplasty,S94.1,Injury of medial plantar nerve,
510A,Peripheral nerve injury with open wound,Neuroplasty,S94.2,Injury of deep peroneal nerve at ankle and foot level,
